TID;OMRÅDE;KØN;ALDER;CIVILSTAND;INDHOLD
2008K1;Hele landet;I alt;18 år;Enke/enkemand;0
2008K1;Hele landet;I alt;18 år;Fraskilt;1
2008K1;Hele landet;I alt;19 år;I alt;63357
2008K1;Hele landet;I alt;19 år;Ugift;63098
2008K1;Hele landet;I alt;19 år;Gift/separeret;255
2008K1;Hele landet;I alt;19 år;Enke/enkemand;0
2008K1;Hele landet;I alt;19 år;Fraskilt;4
2008K1;Hele landet;I alt;20 år;I alt;61689
2008K1;Hele landet;I alt;20 år;Ugift;61181
2008K1;Hele landet;I alt;20 år;Gift/separeret;495
2008K1;Hele landet;I alt;20 år;Enke/enkemand;0
2008K1;Hele landet;I alt;20 år;Fraskilt;13
2008K1;Hele landet;I alt;21 år;I alt;62081
2008K1;Hele landet;I alt;21 år;Ugift;61095
2008K1;Hele landet;I alt;21 år;Gift/separeret;949
2008K1;Hele landet;I alt;21 år;Enke/enkemand;2
2008K1;Hele landet;I alt;21 år;Fraskilt;35
2008K1;Hele landet;I alt;22 år;I alt;61318
2008K1;Hele landet;I alt;22 år;Ugift;59644
2008K1;Hele landet;I alt;22 år;Gift/separeret;1590
2008K1;Hele landet;I alt;22 år;Enke/enkemand;4
2008K1;Hele landet;I alt;22 år;Fraskilt;80
2008K1;Hele landet;I alt;23 år;I alt;59737
2008K1;Hele landet;I alt;23 år;Ugift;56981
2008K1;Hele landet;I alt;23 år;Gift/separeret;2624
2008K1;Hele landet;I alt;23 år;Enke/enkemand;7
2008K1;Hele landet;I alt;23 år;Fraskilt;125
2008K1;Hele landet;I alt;24 år;I alt;58972
2008K1;Hele landet;I alt;24 år;Ugift;54658
2008K1;Hele landet;I alt;24 år;Gift/separeret;4078
2008K1;Hele landet;I alt;24 år;Enke/enkemand;6
2008K1;Hele landet;I alt;24 år;Fraskilt;230
2008K1;Hele landet;I alt;25 år;I alt;60617
2008K1;Hele landet;I alt;25 år;Ugift;53764
2008K1;Hele landet;I alt;25 år;Gift/separeret;6428
2008K1;Hele landet;I alt;25 år;Enke/enkemand;7
2008K1;Hele landet;I alt;25 år;Fraskilt;418
2008K1;Hele landet;I alt;26 år;I alt;60601
2008K1;Hele landet;I alt;26 år;Ugift;50892
2008K1;Hele landet;I alt;26 år;Gift/separeret;9062
2008K1;Hele landet;I alt;26 år;Enke/enkemand;8
2008K1;Hele landet;I alt;26 år;Fraskilt;639
2008K1;Hele landet;I alt;27 år;I alt;64382
2008K1;Hele landet;I alt;27 år;Ugift;50475
2008K1;Hele landet;I alt;27 år;Gift/separeret;12947
2008K1;Hele landet;I alt;27 år;Enke/enkemand;20
2008K1;Hele landet;I alt;27 år;Fraskilt;940
2008K1;Hele landet;I alt;28 år;I alt;65919
2008K1;Hele landet;I alt;28 år;Ugift;47988
2008K1;Hele landet;I alt;28 år;Gift/separeret;16565
2008K1;Hele landet;I alt;28 år;Enke/enkemand;38
2008K1;Hele landet;I alt;28 år;Fraskilt;1328
2008K1;Hele landet;I alt;29 år;I alt;68204
2008K1;Hele landet;I alt;29 år;Ugift;45130
2008K1;Hele landet;I alt;29 år;Gift/separeret;21280
2008K1;Hele landet;I alt;29 år;Enke/enkemand;43
2008K1;Hele landet;I alt;29 år;Fraskilt;1751
2008K1;Hele landet;I alt;30 år;I alt;68066
2008K1;Hele landet;I alt;30 år;Ugift;40049
2008K1;Hele landet;I alt;30 år;Gift/separeret;25832
2008K1;Hele landet;I alt;30 år;Enke/enkemand;41
2008K1;Hele landet;I alt;30 år;Fraskilt;2144
2008K1;Hele landet;I alt;31 år;I alt;70760
2008K1;Hele landet;I alt;31 år;Ugift;37891
2008K1;Hele landet;I alt;31 år;Gift/separeret;30075
2008K1;Hele landet;I alt;31 år;Enke/enkemand;56
2008K1;Hele landet;I alt;31 år;Fraskilt;2738
2008K1;Hele landet;I alt;32 år;I alt;76900
2008K1;Hele landet;I alt;32 år;Ugift;37664
2008K1;Hele landet;I alt;32 år;Gift/separeret;35648
2008K1;Hele landet;I alt;32 år;Enke/enkemand;86
2008K1;Hele landet;I alt;32 år;Fraskilt;3502
2008K1;Hele landet;I alt;33 år;I alt;75885
2008K1;Hele landet;I alt;33 år;Ugift;33834
2008K1;Hele landet;I alt;33 år;Gift/separeret;37907
2008K1;Hele landet;I alt;33 år;Enke/enkemand;82
2008K1;Hele landet;I alt;33 år;Fraskilt;4062
2008K1;Hele landet;I alt;34 år;I alt;76068
2008K1;Hele landet;I alt;34 år;Ugift;31189
2008K1;Hele landet;I alt;34 år;Gift/separeret;39939
2008K1;Hele landet;I alt;34 år;Enke/enkemand;120
2008K1;Hele landet;I alt;34 år;Fraskilt;4820
2008K1;Hele landet;I alt;35 år;I alt;79420
2008K1;Hele landet;I alt;35 år;Ugift;29690
2008K1;Hele landet;I alt;35 år;Gift/separeret;43920
2008K1;Hele landet;I alt;35 år;Enke/enkemand;144
2008K1;Hele landet;I alt;35 år;Fraskilt;5666
2008K1;Hele landet;I alt;36 år;I alt;78600
2008K1;Hele landet;I alt;36 år;Ugift;27476
2008K1;Hele landet;I alt;36 år;Gift/separeret;44676
2008K1;Hele landet;I alt;36 år;Enke/enkemand;149
2008K1;Hele landet;I alt;36 år;Fraskilt;6299
2008K1;Hele landet;I alt;37 år;I alt;75431
2008K1;Hele landet;I alt;37 år;Ugift;24256
2008K1;Hele landet;I alt;37 år;Gift/separeret;44379
2008K1;Hele landet;I alt;37 år;Enke/enkemand;179
2008K1;Hele landet;I alt;37 år;Fraskilt;6617
2008K1;Hele landet;I alt;38 år;I alt;75316
2008K1;Hele landet;I alt;38 år;Ugift;22967
2008K1;Hele landet;I alt;38 år;Gift/separeret;44848
2008K1;Hele landet;I alt;38 år;Enke/enkemand;217
2008K1;Hele landet;I alt;38 år;Fraskilt;7284
2008K1;Hele landet;I alt;39 år;I alt;78116
2008K1;Hele landet;I alt;39 år;Ugift;22444
2008K1;Hele landet;I alt;39 år;Gift/separeret;47097
2008K1;Hele landet;I alt;39 år;Enke/enkemand;249
2008K1;Hele landet;I alt;39 år;Fraskilt;8326
2008K1;Hele landet;I alt;40 år;I alt;83635
2008K1;Hele landet;I alt;40 år;Ugift;22926
2008K1;Hele landet;I alt;40 år;Gift/separeret;51054
2008K1;Hele landet;I alt;40 år;Enke/enkemand;316
2008K1;Hele landet;I alt;40 år;Fraskilt;9339
2008K1;Hele landet;I alt;41 år;I alt;89878
2008K1;Hele landet;I alt;41 år;Ugift;23479
2008K1;Hele landet;I alt;41 år;Gift/separeret;55132
2008K1;Hele landet;I alt;41 år;Enke/enkemand;416
2008K1;Hele landet;I alt;41 år;Fraskilt;10851
2008K1;Hele landet;I alt;42 år;I alt;87017
2008K1;Hele landet;I alt;42 år;Ugift;21742
2008K1;Hele landet;I alt;42 år;Gift/separeret;53908
